path,source_group,route,route_name,website_features,columns,column_count,sample_count,sample_file,encoding,size_bytes,modified_at,scan_error
D:\蘇崇維\讀取結果\tblGrid_test_v3\tblGrid_test_classification_report_v3.csv,ai_results,unknown,尚未分類,,class_or_average｜precision｜recall｜f1_score｜support,5,7,C:\Users\admin\Downloads\topic\topic_website\Mr_SU\data_preprocessing\output\samples\tblGrid_test_classification_report_v3_9072377143d9.json,utf-8-sig,508,2026-07-24T14:50:52,
D:\蘇崇維\讀取結果\tblGrid_test_v3\tblGrid_test_misclassified_v3.csv,ai_results,unknown,尚未分類,,array_index｜mode｜class_id｜class_key｜class_name_zh｜class_sample_index｜selection_strategy｜selection_score｜source_file｜source_path｜station｜source_start_index｜source_end_index｜source_start_time｜source_end_time｜event_start_index｜event_length｜event_minutes｜voltage_factor｜current_factor｜affected_phases｜true_class_id｜true_class_key｜true_class_zh｜predicted_class_id｜predicted_class_key｜predicted_class_zh｜is_correct｜confidence｜probability_margin｜is_confident｜threshold_result｜probability_normal｜probability_voltage_sag｜probability_load_spike｜probability_severe_anomaly,36,10,C:\Users\admin\Downloads\topic\topic_website\Mr_SU\data_preprocessing\output\samples\tblGrid_test_misclassified_v3_39196ec97c70.json,utf-8-sig,21681,2026-07-24T14:50:50,
D:\蘇崇維\讀取結果\tblGrid_test_v3\tblGrid_test_predictions_v3.csv,ai_results,unknown,尚未分類,,array_index｜mode｜class_id｜class_key｜class_name_zh｜class_sample_index｜selection_strategy｜selection_score｜source_file｜source_path｜station｜source_start_index｜source_end_index｜source_start_time｜source_end_time｜event_start_index｜event_length｜event_minutes｜voltage_factor｜current_factor｜affected_phases｜true_class_id｜true_class_key｜true_class_zh｜predicted_class_id｜predicted_class_key｜predicted_class_zh｜is_correct｜confidence｜probability_margin｜is_confident｜threshold_result｜probability_normal｜probability_voltage_sag｜probability_load_spike｜probability_severe_anomaly,36,10,C:\Users\admin\Downloads\topic\topic_website\Mr_SU\data_preprocessing\output\samples\tblGrid_test_predictions_v3_4b628c2ba927.json,utf-8-sig,454015,2026-07-24T14:50:50,
D:\蘇崇維\讀取結果\tblGrid_test_v4\tblGrid_test_calibration_bins_v4.csv,ai_results,unknown,尚未分類,,bin_lower｜bin_upper｜sample_count｜mean_confidence｜accuracy｜calibration_gap,6,10,C:\Users\admin\Downloads\topic\topic_website\Mr_SU\data_preprocessing\output\samples\tblGrid_test_calibration_bins_v4_db36b73c8b98.json,utf-8-sig,591,2026-07-31T13:11:35,
D:\蘇崇維\讀取結果\tblGrid_test_v4\tblGrid_test_class_metrics_v4.csv,ai_results,unknown,尚未分類,,class_id｜class_key｜class_name_zh｜precision｜recall｜f1_score｜support,7,4,C:\Users\admin\Downloads\topic\topic_website\Mr_SU\data_preprocessing\output\samples\tblGrid_test_class_metrics_v4_6383f9f9132b.json,utf-8-sig,384,2026-07-31T13:11:34,
D:\蘇崇維\讀取結果\tblGrid_test_v4\tblGrid_test_classification_report_v4.csv,ai_results,unknown,尚未分類,,class_or_average｜precision｜recall｜f1_score｜support,5,7,C:\Users\admin\Downloads\topic\topic_website\Mr_SU\data_preprocessing\output\samples\tblGrid_test_classification_report_v4_8fed86117a5f.json,utf-8-sig,472,2026-07-31T13:11:35,
D:\蘇崇維\讀取結果\tblGrid_test_v4\tblGrid_test_feature_quality_v4.csv,ai_results,data_quality,資料品質,資料品質,class_id｜class_name_zh｜feature_index｜feature_name｜clip_value｜clip_rate｜minimum｜maximum｜mean｜standard_deviation,10,10,C:\Users\admin\Downloads\topic\topic_website\Mr_SU\data_preprocessing\output\samples\tblGrid_test_feature_quality_v4_0c336dc688ea.json,utf-8-sig,7962,2026-07-31T13:11:35,
D:\蘇崇維\讀取結果\tblGrid_test_v4\tblGrid_test_misclassified_v4.csv,ai_results,unknown,尚未分類,,array_index｜mode｜base_window_id｜class_id｜class_key｜class_name_zh｜class_sample_index｜selection_strategy｜selection_score｜source_key｜source_file｜source_path｜station｜source_start_index｜source_end_index｜source_start_time｜source_end_time｜event_start_index｜event_length｜event_minutes｜event_shape｜voltage_factor｜current_factor｜affected_phases｜current_cap_min｜current_cap_max｜true_class_id｜true_class_key｜true_class_zh｜predicted_class_id｜predicted_class_key｜predicted_class_zh｜is_correct｜confidence｜probability_margin｜is_confident｜threshold_result｜probability_normal｜probability_voltage_sag｜probability_load_spike｜probability_severe_anomaly,41,10,C:\Users\admin\Downloads\topic\topic_website\Mr_SU\data_preprocessing\output\samples\tblGrid_test_misclassified_v4_122598265398.json,utf-8-sig,27829,2026-07-31T13:11:33,
D:\蘇崇維\讀取結果\tblGrid_test_v4\tblGrid_test_predictions_v4.csv,ai_results,unknown,尚未分類,,array_index｜mode｜base_window_id｜class_id｜class_key｜class_name_zh｜class_sample_index｜selection_strategy｜selection_score｜source_key｜source_file｜source_path｜station｜source_start_index｜source_end_index｜source_start_time｜source_end_time｜event_start_index｜event_length｜event_minutes｜event_shape｜voltage_factor｜current_factor｜affected_phases｜current_cap_min｜current_cap_max｜true_class_id｜true_class_key｜true_class_zh｜predicted_class_id｜predicted_class_key｜predicted_class_zh｜is_correct｜confidence｜probability_margin｜is_confident｜threshold_result｜probability_normal｜probability_voltage_sag｜probability_load_spike｜probability_severe_anomaly,41,10,C:\Users\admin\Downloads\topic\topic_website\Mr_SU\data_preprocessing\output\samples\tblGrid_test_predictions_v4_c96539a01baa.json,utf-8-sig,550356,2026-07-31T13:11:33,
D:\蘇崇維\蘇格蘭\2024\tblGrid\tblGrid_2023_01.csv,cnn_raw_tblGrid,cnn_measurements,CNN 三相歷史監測,三相電壓｜三相電流｜歷史資料曲線,TimeStamp｜Station｜WPSStatus｜TimestampStation｜CurrentL1｜CurrentL2｜CurrentL3｜VoltageL1｜VoltageL2｜VoltageL3｜ActivePower｜ReActivePower｜ActivePowerExport｜ReActivePowerExport｜ActivePowerImport｜ReActivePowerImport｜DigitalInputBlock1｜DigitalInputBlock2｜DigitalInputBlock3｜DigitalInputBlock4｜GridTHD｜PowerFactor｜Frequency,23,10,C:\Users\admin\Downloads\topic\topic_website\Mr_SU\data_preprocessing\output\samples\tblGrid_2023_01_04e7adb1c299.json,utf-8-sig,1145910,2026-04-13T20:58:26,
D:\蘇崇維\蘇格蘭\2024\tblGrid\tblGrid_2023_02.csv,cnn_raw_tblGrid,cnn_measurements,CNN 三相歷史監測,三相電壓｜三相電流｜歷史資料曲線,TimeStamp｜Station｜WPSStatus｜TimestampStation｜CurrentL1｜CurrentL2｜CurrentL3｜VoltageL1｜VoltageL2｜VoltageL3｜ActivePower｜ReActivePower｜ActivePowerExport｜ReActivePowerExport｜ActivePowerImport｜ReActivePowerImport｜DigitalInputBlock1｜DigitalInputBlock2｜DigitalInputBlock3｜DigitalInputBlock4｜GridTHD｜PowerFactor｜Frequency,23,10,C:\Users\admin\Downloads\topic\topic_website\Mr_SU\data_preprocessing\output\samples\tblGrid_2023_02_1585d3976ccf.json,utf-8-sig,1033261,2026-04-13T20:58:26,
D:\蘇崇維\蘇格蘭\2024\tblGrid\tblGrid_2023_03.csv,cnn_raw_tblGrid,cnn_measurements,CNN 三相歷史監測,三相電壓｜三相電流｜歷史資料曲線,TimeStamp｜Station｜WPSStatus｜TimestampStation｜CurrentL1｜CurrentL2｜CurrentL3｜VoltageL1｜VoltageL2｜VoltageL3｜ActivePower｜ReActivePower｜ActivePowerExport｜ReActivePowerExport｜ActivePowerImport｜ReActivePowerImport｜DigitalInputBlock1｜DigitalInputBlock2｜DigitalInputBlock3｜DigitalInputBlock4｜GridTHD｜PowerFactor｜Frequency,23,10,C:\Users\admin\Downloads\topic\topic_website\Mr_SU\data_preprocessing\output\samples\tblGrid_2023_03_943706f3534e.json,utf-8-sig,1142068,2026-04-13T20:58:26,
